,race_id,venue,race_no,config,surface,distance,going,prize,race_class,place_combination1,place_combination2
3104,3104,0,6,0,1,1200,1,950000,3,7,8
3105,3105,0,7,0,1,1650,1,950000,3,10,12
3106,3106,0,8,0,1,1650,1,1400000,2,14,7
3107,3107,1,1,2,0,1000,1,540000,5,2,3
3108,3108,1,2,2,0,1000,0,700000,4,10,1
3109,3109,1,3,2,0,1800,0,700000,4,7,3
3110,3110,1,4,2,0,1650,0,540000,5,3,9
3111,3111,1,5,2,0,1200,0,700000,4,1,9
3112,3112,1,6,2,0,1650,0,700000,4,6,1
3113,3113,1,7,2,0,1650,0,950000,3,5,3
3114,3114,1,8,2,0,1200,0,950000,3,12,3
3115,3115,1,9,2,0,1000,0,950000,3,2,6
3116,3116,1,10,2,0,1200,0,1400000,2,2,1
3117,3117,1,1,4,0,1800,0,540000,5,10,8
3118,3118,1,2,4,0,1200,0,540000,5,12,5
3119,3119,1,3,4,0,1200,0,700000,4,9,11
3120,3120,1,4,4,0,1200,0,700000,4,2,7
3121,3121,1,5,4,0,1650,0,700000,4,12,4
3122,3122,1,6,4,0,2200,0,950000,3,6,4
3123,3123,1,7,4,0,1650,0,950000,3,3,4
3124,3124,1,8,4,0,1200,0,950000,3,3,6
3125,3125,0,1,3,0,1000,0,750000,4,6,2
3126,3126,0,2,3,0,1200,0,700000,4,9,12
3127,3127,0,3,3,0,1400,0,540000,5,8,12
3128,3128,0,4,3,0,1600,0,700000,4,1,9
3129,3129,0,5,3,0,1400,0,700000,4,4,11
3130,3130,0,6,3,0,1200,0,950000,3,1,12
3131,3131,0,7,3,0,1200,0,3000000,12,10,3
3132,3132,0,8,3,0,1400,0,950000,3,5,9
3133,3133,0,9,3,0,1600,0,3000000,12,1,3
3134,3134,0,10,3,0,1600,0,950000,3,9,7
3135,3135,0,11,3,0,1400,0,1400000,2,5,10
3136,3136,0,1,5,0,1200,0,700000,4,2,9
3137,3137,0,2,5,0,1600,0,540000,5,9,8
3138,3138,0,3,5,0,1000,0,700000,4,2,7
3139,3139,0,4,5,0,1400,0,700000,4,1,4
3140,3140,0,5,5,0,1800,0,700000,4,9,7
3141,3141,0,6,5,0,1800,0,950000,3,10,1
3142,3142,0,7,5,0,1000,0,1400000,2,9,5
3143,3143,0,8,5,0,1000,0,950000,3,5,10
3144,3144,0,9,5,0,1400,0,950000,3,8,4
3145,3145,0,10,5,0,1800,0,1400000,2,7,8
3146,3146,1,1,0,0,2200,1,540000,5,3,11
3147,3147,1,2,0,0,1200,1,700000,4,5,8
3148,3148,1,3,0,0,1000,1,950000,3,4,1
3149,3149,1,4,0,0,1000,1,700000,4,2,8
3150,3150,1,5,0,0,1650,1,700000,4,8,5
3151,3151,1,6,0,0,1200,1,950000,3,5,6
3152,3152,1,7,0,0,1650,1,950000,3,3,5
3153,3153,1,8,0,0,1650,1,1400000,2,12,7
3154,3154,0,1,0,0,1200,1,540000,5,3,5
3155,3155,0,2,0,0,1400,0,700000,4,10,12
3156,3156,0,3,0,0,1200,0,700000,4,7,11
3157,3157,0,4,0,0,1400,0,540000,5,1,11
3158,3158,0,5,0,0,1600,0,700000,4,12,8
3159,3159,0,6,0,0,1400,0,700000,4,13,6
3160,3160,0,7,0,0,1200,0,950000,3,3,2
3161,3161,0,8,0,0,1400,0,2000000,1,1,7
3162,3162,0,9,0,0,1600,0,950000,3,3,6
3163,3163,0,10,0,0,1400,0,950000,3,6,1
3164,3164,0,1,0,1,1200,1,540000,5,1,2
3165,3165,0,2,0,1,1200,1,700000,4,2,4
3166,3166,0,3,0,1,1200,4,700000,4,4,6
3167,3167,0,4,0,1,1800,4,700000,4,13,5
3168,3168,0,5,0,1,1200,4,950000,3,9,11
3169,3169,0,6,0,1,1800,4,950000,3,8,2
3170,3170,0,7,0,1,1200,4,950000,3,10,12
3171,3171,0,8,0,1,1200,4,1400000,2,2,4
3172,3172,0,1,3,0,1200,1,750000,4,3,4
3173,3173,0,2,3,0,1200,1,700000,4,10,2
3174,3174,0,3,3,0,1800,1,540000,5,4,11
3175,3175,0,4,3,0,1200,1,950000,3,8,4
3176,3176,0,5,3,0,1600,1,700000,4,5,10
3177,3177,0,6,3,0,1400,1,950000,3,5,2
3178,3178,0,7,3,0,2000,1,3000000,12,1,3
3179,3179,0,8,3,0,1600,1,3000000,12,3,1
3180,3180,0,9,3,0,1200,1,3000000,12,3,10
3181,3181,0,10,3,0,1600,1,1400000,2,9,13
3182,3182,0,11,3,0,1200,1,1400000,2,12,9
3183,3183,1,1,4,0,1000,1,540000,5,10,6
3184,3184,1,2,4,0,1650,1,540000,5,5,8
3185,3185,1,3,4,0,1650,1,700000,4,6,3
3186,3186,1,4,4,0,1200,1,700000,4,2,1
3187,3187,1,5,4,0,1650,1,700000,4,12,3
3188,3188,1,6,4,0,1650,1,950000,3,2,10
3189,3189,1,7,4,0,1650,1,950000,3,4,8
3190,3190,1,8,4,0,1200,1,950000,3,8,7
3191,3191,0,1,4,0,1000,1,700000,4,7,3
3192,3192,0,2,4,0,1400,1,540000,5,8,11
3193,3193,0,3,4,0,1200,1,950000,3,8,6
3194,3194,0,4,4,0,1200,1,700000,4,1,9
3195,3195,0,5,4,0,1400,2,700000,4,11,12
3196,3196,0,6,4,0,1600,2,700000,4,7,1
3197,3197,0,7,4,0,1400,2,950000,3,2,8
3198,3198,0,8,4,0,1400,2,2000000,1,6,8
3199,3199,0,9,4,0,1600,2,950000,3,1,13
3200,3200,0,10,4,0,1400,2,1400000,2,9,5
3201,3201,1,1,5,0,1000,1,700000,4,1,7
3202,3202,1,2,5,0,2200,1,700000,4,1,4
3203,3203,1,3,5,0,1800,1,540000,5,11,6
3204,3204,1,4,5,0,1200,1,700000,4,12,4
3205,3205,1,5,5,0,1800,1,950000,3,5,1
3206,3206,1,6,5,0,1000,1,950000,3,10,1
3207,3207,1,7,5,0,1200,1,950000,3,8,4
3208,3208,1,8,5,0,1000,1,1400000,2,4,12
3209,3209,0,1,5,0,1200,1,750000,4,5,2
3210,3210,0,2,0,1,1200,3,540000,5,6,1
3211,3211,0,3,0,1,1650,3,700000,4,6,12
3212,3212,0,4,0,1,1200,3,700000,4,7,10
3213,3213,0,5,0,1,1650,3,540000,5,9,8
3214,3214,0,6,5,0,1400,1,700000,4,7,3
3215,3215,0,7,0,1,1650,3,950000,3,14,7
3216,3216,0,8,0,1,1200,3,950000,3,1,7
3217,3217,0,9,5,0,1000,1,950000,3,4,10
3218,3218,0,10,0,1,1650,3,1400000,2,6,5
3219,3219,0,11,5,0,1400,1,950000,3,3,5
3220,3220,1,1,0,0,1200,1,540000,5,8,5
3221,3221,1,2,0,0,1200,1,700000,4,3,12
3222,3222,1,3,0,0,1650,1,840000,4,12,9
3223,3223,1,4,0,0,1650,1,840000,4,4,6
3224,3224,1,5,0,0,1200,1,950000,3,3,7
3225,3225,1,6,0,0,1650,1,1140000,3,9,5
3226,3226,1,7,0,0,1650,1,1140000,3,2,10
3227,3227,1,8,0,0,1800,1,1400000,2,11,3
3228,3228,0,1,0,0,1200,1,950000,3,4,1
3229,3229,0,2,0,0,1400,1,950000,3,10,8
3230,3230,0,3,0,0,1800,1,950000,3,3,13
3231,3231,0,4,0,0,2400,1,15000000,11,6,8
3232,3232,0,5,0,0,1200,1,15000000,11,4,9
3233,3233,0,6,0,0,1200,1,1400000,2,2,3
3234,3234,0,7,0,0,1600,1,20000000,11,1,3
3235,3235,0,8,0,0,2000,1,22000000,11,2,13
3236,3236,0,9,0,0,1400,1,2000000,1,1,5
3237,3237,0,10,0,0,1600,1,1400000,2,9,14
3238,3238,1,1,2,0,1200,1,700000,4,12,6
3239,3239,1,2,2,0,2200,1,540000,5,3,5
3240,3240,1,3,2,0,1650,1,540000,5,10,6
